Genes	N5CA1	N5CA2	N5CA3	N5CA4	V1	V2	V3	V4	N5FL1	N5FL2	N5FL3	N5FL4
0610009B22Rik	16303.7	19266.2	24090.2	20939.7	27147.1	14556.8	10475.9	12054.8	18052.6	23303.1	25216.6	23229.7
1700009N14Rik	7221.67	8410.1	7950.41	8551.91	8965.98	7242.88	8542.77		20670.1	1393.65	3907.09	8240.92
1810024B03Rik	21863.4	14660.5	23180.8	21537.9	27136.6	24112.2	18895.5	21530.8	18061.4	22392	29948.6	23261.8
2310061I04Rik	4447.14	4688.56	5504.16	2324.02	3820.98	2942.66	1079.17		6898.6	7407	7863.41	5555.6
2410002F23Rik	21041.1	21498.8	23350.7	21966.8	24974.6	27846.9	22821.2	18035.8	33908.6	34606.5	38363.8	34669.3
2700097O09Rik	3051.38	4340.66	4014.7	3199.81	2298.9	1805.17	3439.12	4283.24	1539.35	2933.04	3267.41	3889.71
4930433I11Rik	8830.05	10096		12133.8	22678.7	14761.9	4471.06		21341.1	13983.1	17105.3	12896.3
4930517N10Rik;Iqcf3	512902	514336	471600	500007	484565	545774	618021	553248	424929	527448	539625	578126
5031439G07Rik	40302.9	36867.1	38384	37396.2	55658	55809.7	55329.6	61470.6	18585.6	22338.9	21055.4	23422.5
8030462N17Rik	25076.5	27311.1	32097.3	26885.9	29106.6	33701.4	22096.2	24476.8	30716.5	30489.3	24646.9	25758
A2m	104996	91089.5	102636	58754.1	61802.6	57996.8	52738.3	38939.5	26696.4	38135.1	48114.2	58774.6
A630001G21Rik	8931.96	10003.8	5734.03	4178.55	9834.83	9041.75	7849.9	8430.05	7335.37	9633.01	6106.32	10309.8
Aaas	85542.6	72102.6	81594	81171.9	84834.8	84033.1	74059.6	70177.4	70258.2	71229	73710.3	71204
Aacs	120151	107664	113398	124329	148806	149015	129661	132795	143932	146817	141436	150596
Aagab	12647.1	17545.9	16273.4	17385.6	10570	14508.9	15731.5	11852.5	10422.8	8608.14	8757.14	14683.2
Aak1	50928.1	46938.3	51818.9	50122.9	79725.7	78010.7	62120.9	59749.8	42008.4	49667.3	46813.8	53091.8
Aak1;Bmp2k	20139.4	8504.73	9926.04	17106.8	27172	16265.6	16109.3	16264.1	26397.5	19776.8	21513.7	13432.4
Aamdc	23520.5	30787	27916.5	26279.8	23833.4	35959.3	29709.6	29781.3	30766.6	32112.3	33862.3	33462.4
Aamp	77681.1	77894.7	87064	82357.2	71747.6	80334.6	70686.7	75183.5	87238.1	91932.5	84160.8	86861.4
Aar2	33559.7	31767.9	40226.3	32393.8	28008.1	35324	27828.8	32816.8	21447.1	20054.9	21227	22626.7
